[2014/09/12 20:40:11] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 42995, 46058)
[2014/09/12 21:52:03] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 1384, 1844)
[2014/09/12 21:52:04] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 18902, 19362)
[2014/09/12 21:52:04] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 10604, 11064)
[2014/09/12 21:52:04] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 17058, 17518)
[2014/09/12 21:52:04] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 29505, 29965)
[2014/09/12 21:52:04] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 17980, 18440)
[2014/09/12 21:52:04] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 8760, 9220)
[2014/09/12 21:52:04] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 41952, 42412)
[2014/09/12 21:52:04] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 23512, 23972)
[2014/09/12 21:52:04] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 34576, 35036)
[2014/09/12 21:52:04] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 462, 922)
[2014/09/12 21:52:04] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 25356, 25816)
[2014/09/12 21:52:04] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 43796, 44256)
[2014/09/12 21:52:04] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 7377, 7837)
)
2014/09/12 21:52:04] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 40569, 41029)
[2014/09/12 21:52:04] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 14292, 14752)
[2014/09/12 21:52:04] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 2306, 2766)
)
[2014/09/12 21:52:04] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 38264, 38724)
[2014/09/12 21:52:04] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 27200, 27660)
[2014/09/12 21:52:04] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 34115, 34575)
[2014/09/12 21:52:04] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 44257, 44717)
[2014/09/12 21:52:04] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 15675, 16135)
[2014/09/12 21:52:04] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 25817, 26277)
[2014/09/12 21:52:04] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 923, 1383)
[2014/09/12 21:52:04] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 8299, 8759)
)
[2014/09/12 21:52:04] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 22590, 23050)
[2014/09/12 21:52:04] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 5072, 5532)
[2014/09/12 21:52:05] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 18441, 18901)
[2014/09/12 21:52:05] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 5533, 5993)
[2014/09/12 21:52:05] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 12448, 12908)
[2014/09/12 21:52:05] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 30888, 31348)
[2014/09/12 21:52:05] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 29044, 29504)
[2014/09/12 21:52:05] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 39186, 39646)
[2014/09/12 21:52:05] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 19363, 19823)
[2014/09/12 21:52:05] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 10143, 10603)
[2014/09/12 21:52:05] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 9221, 9681)
[2014/09/12 21:52:05] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 17519, 17979)
[2014/09/12 21:52:05] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 41030, 41490)
[2014/09/12 21:52:05] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 11987, 12447)
[2014/09/12 21:52:05] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 1845, 2305)
[2014/09/12 21:52:05] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 14753, 15213)
[2014/09/12 21:52:05] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 26739, 27199)
[2014/09/12 21:52:05] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 33193, 33653)
[2014/09/12 21:52:05] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 13370, 13830)
[2014/09/12 21:52:05] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 23973, 24433)
[2014/09/12 21:52:05] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 30427, 30887)
[2014/09/12 21:52:05] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 23051, 23511)
[2014/09/12 21:52:05] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 35498, 35958)
[2014/09/12 21:52:05] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 3228, 3688)
[2014/09/12 21:52:05] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 28122, 28582)
[2014/09/12 21:52:05] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 31810, 32270)
[2014/09/12 21:52:05] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 42874, 43334)
[2014/09/12 21:52:05] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 24434, 24894)
[2014/09/12 21:52:05] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 6455, 6915)
[2014/09/12 21:52:05] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 37342, 37802)
)
[2014/09/12 21:52:05] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 21207, 21667)
[2014/09/12 21:52:05] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 20746, 21206)
[2014/09/12 21:52:05] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 6916, 7376)
[2014/09/12 21:52:05] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 37803, 38263)
[2014/09/12 21:52:06] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 1, 461)
[2014/09/12 21:52:06] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 43335, 43795)
[2014/09/12 21:52:06] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 35037, 35497)
[2014/09/12 21:52:06] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 16597, 17057)
[2014/09/12 21:52:06] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 24895, 25355)
[2014/09/12 21:58:08] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 17519, 17979)
[2014/09/12 21:58:08] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 5533, 5993)
[2014/09/12 21:58:08] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 16597, 17057)
[2014/09/12 21:58:08] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 13831, 14291)
[2014/09/12 21:58:08] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 23512, 23972)
014/09/12 21:58:08] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 15675, 16135)
)
[2014/09/12 21:58:08] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 27200, 27660)
[2014/09/12 21:58:08] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 25356, 25816)
[2014/09/12 21:58:08] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 4611, 5071)
[2014/09/12 21:58:08] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 2767, 3227)
)
[2014/09/12 21:58:08] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 17058, 17518)
[2014/09/12 21:58:08] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 28122, 28582)
[2014/09/12 21:58:08] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 17980, 18440)
[2014/09/12 21:58:08] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 10143, 10603)
[2014/09/12 21:58:08] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 27661, 28121)
[2014/09/12 21:58:08] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 6455, 6915)
[2014/09/12 21:58:08] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 30888, 31348)
[2014/09/12 21:58:08] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 10604, 11064)
[2014/09/12 21:58:08] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 20746, 21206)
[2014/09/12 21:58:08] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 18902, 19362)
[2014/09/12 21:58:08] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 4150, 4610)
)
[2014/09/12 21:58:08] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 14292, 14752)
[2014/09/12 21:58:08] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 29044, 29504)
[2014/09/12 21:58:08] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 1384, 1844)
)
[2014/09/12 21:58:08] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 1845, 2305)
[2014/09/12 21:58:08] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 20285, 20745)
[2014/09/12 21:58:08] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 16136, 16596)
[2014/09/12 21:58:08] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 6916, 7376)
[2014/09/12 21:58:08] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 1, 461)
3511)
[2014/09/12 21:58:08] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 8299, 8759)
)
[2014/09/12 21:58:08] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 3228, 3688)
[2014/09/12 21:58:08] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 26739, 27199)
[2014/09/12 21:58:08] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 7838, 8298)
[2014/09/12 21:58:08] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 22129, 22589)
[2014/09/12 21:58:09] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 8760, 9220)
[2014/09/12 21:58:09] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 35498, 35958)
[2014/09/12 21:58:09] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 23973, 24433)
[2014/09/12 21:58:09] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 2306, 2766)
[2014/09/12 21:58:09] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 3689, 4149)
[2014/09/12 21:58:09] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 28583, 29043)
[2014/09/12 21:58:09] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 12909, 13369)
[2014/09/12 21:58:09] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 36420, 36880)
[2014/09/12 21:58:22] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 36881, 37341)
[2014/09/12 21:58:37] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 37803, 38263)
[2014/09/12 21:58:37] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 37342, 37802)
[2014/09/12 21:58:52] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 38264, 38724)
[2014/09/12 21:59:22] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 38725, 39185)
[2014/09/12 22:00:07] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 39186, 39646)
[2014/09/12 22:00:22] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 39647, 40107)
[2014/09/12 22:00:37] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 40569, 41029)
[2014/09/12 22:00:37] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 40108, 40568)
[2014/09/12 22:00:37] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 41952, 42412)
[2014/09/12 22:00:52] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 42413, 42873)
[2014/09/12 22:01:07] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 45179, 45639)
[2014/09/12 22:01:07] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 43796, 44256)
[2014/09/12 22:01:07] Start running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 44257, 44717)
[2014/09/13 09:34:29] Finish running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 5994, 6454). Elapsed time: 11:42:26
[2014/09/13 11:33:41] Finish running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 11987, 12447). Elapsed time: 13:35:32
[2014/09/13 11:34:07] Finish running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 11987, 12447). Elapsed time: 13:42:02
[2014/09/13 12:20:53] Finish running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 24434, 24894). Elapsed time: 14:28:47
[2014/09/13 13:04:09] Finish running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 6455, 6915). Elapsed time: 15:12:03
[2014/09/13 13:04:21] Finish running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 6455, 6915). Elapsed time: 15:06:13
[2014/09/13 13:18:26] Finish running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 39647, 40107). Elapsed time: 15:18:03
[2014/09/13 13:18:29] Finish running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 39647, 40107). Elapsed time: 15:26:25
[2014/09/13 14:43:12] Finish running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 21207, 21667). Elapsed time: 16:51:06
[2014/09/13 14:44:45] Finish running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 21207, 21667). Elapsed time: 16:46:36
[2014/09/13 15:32:20] Finish running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 18902, 19362). Elapsed time: 17:40:15
[2014/09/13 15:33:21] Finish running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 18902, 19362). Elapsed time: 17:35:12
[2014/09/13 15:40:17] Finish running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 18441, 18901). Elapsed time: 17:48:12
[2014/09/13 15:41:03] Finish running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 18441, 18901). Elapsed time: 17:42:55
[2014/09/13 16:06:05] Finish running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 30888, 31348). Elapsed time: 18:14:00
[2014/09/13 16:07:27] Finish running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 42874, 43334). Elapsed time: 18:15:21
[2014/09/13 16:07:30] Finish running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 30888, 31348). Elapsed time: 18:09:21
[2014/09/13 16:07:58] Finish running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 42874, 43334). Elapsed time: 18:07:05
[2014/09/13 16:47:20] Finish running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 36881, 37341). Elapsed time: 18:55:16
[2014/09/13 17:01:50] Finish running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 33654, 34114). Elapsed time: 19:09:46
[2014/09/13 17:03:24] Finish running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 33654, 34114). Elapsed time: 19:05:15
[2014/09/13 17:37:35] Finish running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 24895, 25355). Elapsed time: 19:39:26
[2014/09/13 17:38:22] Finish running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 24895, 25355). Elapsed time: 19:46:15
[2014/09/13 17:48:56] Finish running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 31810, 32270). Elapsed time: 19:56:50
[2014/09/13 17:49:02] Finish running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 31810, 32270). Elapsed time: 19:50:53
[2014/09/13 17:53:05] Finish running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 31349, 31809). Elapsed time: 19:54:56
[2014/09/13 17:53:06] Finish running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 31349, 31809). Elapsed time: 20:01:03
[2014/09/13 17:55:47] Finish running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 3689, 4149). Elapsed time: 20:03:44
[2014/09/13 17:55:57] Finish running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 3689, 4149). Elapsed time: 19:57:47
[2014/09/13 18:08:00] Finish running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 36420, 36880). Elapsed time: 20:15:55
[2014/09/13 18:08:38] Finish running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 36420, 36880). Elapsed time: 20:10:28
[2014/09/13 18:25:26] Finish running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 1, 461). Elapsed time: 20:33:19
[2014/09/13 19:25:09] Finish running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 3228, 3688). Elapsed time: 21:33:03
[2014/09/13 19:25:34] Finish running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 3228, 3688). Elapsed time: 21:27:25
[2014/09/13 19:54:33] Finish running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 923, 1383). Elapsed time: 22:02:28
[2014/09/13 19:56:26] Finish running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 923, 1383). Elapsed time: 21:58:17
[2014/09/13 20:27:29] Finish running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 21668, 22128). Elapsed time: 22:35:25
[2014/09/13 20:27:50] Finish running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 462, 922). Elapsed time: 22:35:46
[2014/09/13 20:29:02] Finish running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 462, 922). Elapsed time: 22:30:53
[2014/09/13 20:41:25] Finish running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 23973, 24433). Elapsed time: 22:49:19
[2014/09/13 20:41:47] Finish running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 11526, 11986). Elapsed time: 22:49:41
[2014/09/13 20:42:13] Finish running sift_encode_fc_sge(vsd2014, keyframe-5, covdet, hessian, 256, 80, 0, 23973, 24433). Elapsed time: 22:44:04
