Start runing encode (mbh, keyframe-5, devel2013, 1, 33) at 13-Sep-2013 11:06:17
Start runing encode (mbh, keyframe-5, devel2013, 4489, 4521) at 13-Sep-2013 11:43:57
Start runing encode (mbh, keyframe-5, devel2013, 4522, 4554) at 13-Sep-2013 11:43:57
Start runing encode (mbh, keyframe-5, devel2013, 4555, 4587) at 13-Sep-2013 11:43:58
Start runing encode (mbh, keyframe-5, devel2013, 4456, 4488) at 13-Sep-2013 11:43:59
Start runing encode (mbh, keyframe-5, devel2013, 4588, 4620) at 13-Sep-2013 11:44:13
Start runing encode (mbh, keyframe-5, devel2013, 4621, 4653) at 13-Sep-2013 11:44:13
Start runing encode (mbh, keyframe-5, devel2013, 4654, 4686) at 13-Sep-2013 11:44:16
Finish runing encode (mbh, keyframe-5, devel2013, 2641, 2673) at 13-Sep-2013 11:44:32
Finish runing encode (mbh, keyframe-5, devel2013, 2014, 2046) at 13-Sep-2013 11:44:36
Start runing encode (mbh, keyframe-5, devel2013, 4720, 4752) at 13-Sep-2013 11:44:43
Start runing encode (mbh, keyframe-5, devel2013, 4753, 4785) at 13-Sep-2013 11:44:43
Start runing encode (mbh, keyframe-5, devel2013, 4687, 4719) at 13-Sep-2013 11:44:43
Finish runing encode (mbh, keyframe-5, devel2013, 2971, 3003) at 13-Sep-2013 11:44:50
Start runing encode (mbh, keyframe-5, devel2013, 4786, 4818) at 13-Sep-2013 11:44:58
Start runing encode (mbh, keyframe-5, devel2013, 4819, 4851) at 13-Sep-2013 11:44:58
Finish runing encode (mbh, keyframe-5, devel2013, 2476, 2508) at 13-Sep-2013 11:44:58
Finish runing encode (mbh, keyframe-5, devel2013, 3202, 3234) at 13-Sep-2013 11:45:03
Start runing encode (mbh, keyframe-5, devel2013, 4852, 4884) at 13-Sep-2013 11:45:13
Start runing encode (mbh, keyframe-5, devel2013, 4885, 4917) at 13-Sep-2013 11:45:14
Start runing encode (mbh, keyframe-5, devel2013, 4918, 4950) at 13-Sep-2013 11:45:14
Start runing encode (mbh, keyframe-5, devel2013, 4951, 4983) at 13-Sep-2013 11:45:28
Start runing encode (mbh, keyframe-5, devel2013, 5017, 5049) at 13-Sep-2013 11:45:28
Start runing encode (mbh, keyframe-5, devel2013, 4984, 5016) at 13-Sep-2013 11:45:28
Start runing encode (mbh, keyframe-5, devel2013, 5050, 5082) at 13-Sep-2013 11:45:32
Start runing encode (mbh, keyframe-5, devel2013, 5083, 5115) at 13-Sep-2013 11:45:42
Finish runing encode (mbh, keyframe-5, devel2013, 2872, 2904) at 13-Sep-2013 11:45:48
Finish runing encode (mbh, keyframe-5, devel2013, 2839, 2871) at 13-Sep-2013 11:45:51
Start runing encode (mbh, keyframe-5, devel2013, 5149, 5181) at 13-Sep-2013 11:45:58
Start runing encode (mbh, keyframe-5, devel2013, 5182, 5214) at 13-Sep-2013 11:45:58
Start runing encode (mbh, keyframe-5, devel2013, 5116, 5148) at 13-Sep-2013 11:45:58
Start runing encode (mbh, keyframe-5, devel2013, 5215, 5247) at 13-Sep-2013 11:46:12
Start runing encode (mbh, keyframe-5, devel2013, 5248, 5280) at 13-Sep-2013 11:46:13
Finish runing encode (mbh, keyframe-5, devel2013, 3367, 3399) at 13-Sep-2013 11:46:15
Finish runing encode (mbh, keyframe-5, devel2013, 2707, 2739) at 13-Sep-2013 11:46:24
Start runing encode (mbh, keyframe-5, devel2013, 5314, 5346) at 13-Sep-2013 11:46:28
Start runing encode (mbh, keyframe-5, devel2013, 5281, 5313) at 13-Sep-2013 11:46:29
Start runing encode (mbh, keyframe-5, devel2013, 5347, 5379) at 13-Sep-2013 11:46:43
Start runing encode (mbh, keyframe-5, devel2013, 5380, 5412) at 13-Sep-2013 11:46:58
Finish runing encode (mbh, keyframe-5, devel2013, 3301, 3333) at 13-Sep-2013 11:47:11
Finish runing encode (mbh, keyframe-5, devel2013, 3334, 3366) at 13-Sep-2013 11:47:24
Finish runing encode (mbh, keyframe-5, devel2013, 2740, 2772) at 13-Sep-2013 11:47:24
Start runing encode (mbh, keyframe-5, devel2013, 5413, 5445) at 13-Sep-2013 11:47:28
Start runing encode (mbh, keyframe-5, devel2013, 5545, 5577) at 13-Sep-2013 11:47:28
Start runing encode (mbh, keyframe-5, devel2013, 5479, 5511) at 13-Sep-2013 11:47:28
Start runing encode (mbh, keyframe-5, devel2013, 5446, 5478) at 13-Sep-2013 11:47:29
Finish runing encode (mbh, keyframe-5, devel2013, 2938, 2970) at 13-Sep-2013 11:47:31
Start runing encode (mbh, keyframe-5, devel2013, 5578, 5610) at 13-Sep-2013 11:47:43
Finish runing encode (mbh, keyframe-5, devel2013, 2806, 2838) at 13-Sep-2013 11:47:52
Finish runing encode (mbh, keyframe-5, devel2013, 3400, 3432) at 13-Sep-2013 11:48:26
Start runing encode (mbh, keyframe-5, devel2013, 5611, 5643) at 13-Sep-2013 11:48:43
Finish runing encode (mbh, keyframe-5, devel2013, 3070, 3102) at 13-Sep-2013 11:48:46
Start runing encode (mbh, keyframe-5, devel2013, 5644, 5676) at 13-Sep-2013 11:48:58
Finish runing encode (mbh, keyframe-5, devel2013, 3499, 3531) at 13-Sep-2013 11:49:20
Start runing encode (mbh, keyframe-5, devel2013, 5677, 5709) at 13-Sep-2013 11:49:28
Start runing encode (mbh, keyframe-5, devel2013, 5710, 5742) at 13-Sep-2013 11:49:28
Finish runing encode (mbh, keyframe-5, devel2013, 3268, 3300) at 13-Sep-2013 11:49:30
Finish runing encode (mbh, keyframe-5, devel2013, 2179, 2211) at 13-Sep-2013 11:49:40
Finish runing encode (mbh, keyframe-5, devel2013, 4819, 4851) at 13-Sep-2013 11:49:41
Start runing encode (mbh, keyframe-5, devel2013, 5743, 5775) at 13-Sep-2013 11:49:43
Start runing encode (mbh, keyframe-5, devel2013, 5776, 5808) at 13-Sep-2013 11:49:58
Finish runing encode (mbh, keyframe-5, devel2013, 3169, 3201) at 13-Sep-2013 11:50:09
Start runing encode (mbh, keyframe-5, devel2013, 5809, 5841) at 13-Sep-2013 11:50:13
Start runing encode (mbh, keyframe-5, devel2013, 5842, 5874) at 13-Sep-2013 11:50:13
Finish runing encode (mbh, keyframe-5, devel2013, 3037, 3069) at 13-Sep-2013 11:50:15
Start runing encode (mbh, keyframe-5, devel2013, 5875, 5907) at 13-Sep-2013 11:50:27
Finish runing encode (mbh, keyframe-5, devel2013, 1783, 1815) at 13-Sep-2013 11:50:47
Start runing encode (mbh, keyframe-5, devel2013, 5908, 5940) at 13-Sep-2013 11:50:58
Finish runing encode (mbh, keyframe-5, devel2013, 3103, 3135) at 13-Sep-2013 11:51:08
Start runing encode (mbh, keyframe-5, devel2013, 5941, 5973) at 13-Sep-2013 11:51:13
Start runing encode (mbh, keyframe-5, devel2013, 5974, 6006) at 13-Sep-2013 11:51:13
Finish runing encode (mbh, keyframe-5, devel2013, 4225, 4257) at 13-Sep-2013 11:51:28
Finish runing encode (mbh, keyframe-5, devel2013, 2542, 2574) at 13-Sep-2013 11:51:30
Start runing encode (mbh, keyframe-5, devel2013, 6007, 6039) at 13-Sep-2013 11:51:43
Finish runing encode (mbh, keyframe-5, devel2013, 1882, 1914) at 13-Sep-2013 11:52:07
Start runing encode (mbh, keyframe-5, devel2013, 6040, 6072) at 13-Sep-2013 11:52:13
Finish runing encode (mbh, keyframe-5, devel2013, 2047, 2079) at 13-Sep-2013 11:52:16
Start runing encode (mbh, keyframe-5, devel2013, 6073, 6105) at 13-Sep-2013 11:52:29
Start runing encode (mbh, keyframe-5, devel2013, 6106, 6138) at 13-Sep-2013 11:52:43
Start runing encode (mbh, keyframe-5, devel2013, 6139, 6171) at 13-Sep-2013 11:52:57
Start runing encode (mbh, keyframe-5, devel2013, 6172, 6204) at 13-Sep-2013 11:53:27
Start runing encode (mbh, keyframe-5, devel2013, 6205, 6237) at 13-Sep-2013 11:53:28
Finish runing encode (mbh, keyframe-5, devel2013, 1486, 1518) at 13-Sep-2013 11:53:55
Finish runing encode (mbh, keyframe-5, devel2013, 5182, 5214) at 13-Sep-2013 11:54:03
Start runing encode (mbh, keyframe-5, devel2013, 6238, 6270) at 13-Sep-2013 11:54:07
Finish runing encode (mbh, keyframe-5, devel2013, 2410, 2442) at 13-Sep-2013 11:54:10
Start runing encode (mbh, keyframe-5, devel2013, 6337, 6369) at 13-Sep-2013 11:54:12
Start runing encode (mbh, keyframe-5, devel2013, 6271, 6303) at 13-Sep-2013 11:54:14
Start runing encode (mbh, keyframe-5, devel2013, 6403, 6435) at 13-Sep-2013 11:54:27
Start runing encode (mbh, keyframe-5, devel2013, 6370, 6402) at 13-Sep-2013 11:54:29
Finish runing encode (mbh, keyframe-5, devel2013, 4951, 4983) at 13-Sep-2013 11:54:32
