Start runing encode (mbh, subshot_060_1.0, dev11, 1117, 1152) at 05-Aug-2013 17:21:02
Finish runing encode (mbh, subshot_060_1.0, dev11, 1225, 1260) at 05-Aug-2013 17:35:14
Finish runing encode (mbh, subshot_060_1.0, dev11, 397, 432) at 05-Aug-2013 17:35:24
Finish runing encode (mbh, subshot_060_1.0, dev11, 973, 1008) at 05-Aug-2013 17:35:25
Start runing encode (mbh, subshot_060_1.0, dev11, 2017, 2052) at 05-Aug-2013 17:35:25
Start runing encode (mbh, subshot_060_1.0, dev11, 2053, 2088) at 05-Aug-2013 17:35:40
Finish runing encode (mbh, subshot_060_1.0, dev11, 73, 108) at 05-Aug-2013 17:35:48
Finish runing encode (mbh, subshot_060_1.0, dev11, 1189, 1224) at 05-Aug-2013 17:35:57
Start runing encode (mbh, subshot_060_1.0, dev11, 2161, 2196) at 05-Aug-2013 17:36:10
Start runing encode (mbh, subshot_060_1.0, dev11, 2125, 2160) at 05-Aug-2013 17:36:10
Finish runing encode (mbh, subshot_060_1.0, dev11, 361, 396) at 05-Aug-2013 17:36:17
Finish runing encode (mbh, subshot_060_1.0, dev11, 145, 180) at 05-Aug-2013 17:36:21
Start runing encode (mbh, subshot_060_1.0, dev11, 2269, 2304) at 05-Aug-2013 17:36:40
Start runing encode (mbh, subshot_060_1.0, dev11, 2305, 2340) at 05-Aug-2013 17:36:40
Finish runing encode (mbh, subshot_060_1.0, dev11, 181, 216) at 05-Aug-2013 17:36:51
Start runing encode (mbh, subshot_060_1.0, dev11, 2341, 2376) at 05-Aug-2013 17:37:10
Start runing encode (mbh, subshot_060_1.0, dev11, 2377, 2412) at 05-Aug-2013 17:37:11
Start runing encode (mbh, subshot_060_1.0, dev11, 2413, 2448) at 05-Aug-2013 17:37:25
Finish runing encode (mbh, subshot_060_1.0, dev11, 505, 540) at 05-Aug-2013 17:37:28
Start runing encode (mbh, subshot_060_1.0, dev11, 2485, 2520) at 05-Aug-2013 17:37:55
Start runing encode (mbh, subshot_060_1.0, dev11, 2449, 2484) at 05-Aug-2013 17:37:55
Start runing encode (mbh, subshot_060_1.0, dev11, 2521, 2556) at 05-Aug-2013 17:38:10
Start runing encode (mbh, subshot_060_1.0, dev11, 2557, 2592) at 05-Aug-2013 17:38:56
Finish runing encode (mbh, subshot_060_1.0, dev11, 1477, 1512) at 05-Aug-2013 17:43:50
Finish runing encode (mbh, subshot_060_1.0, dev11, 1297, 1332) at 05-Aug-2013 17:43:54
Start runing encode (mbh, subshot_060_1.0, dev11, 2593, 2628) at 05-Aug-2013 17:43:55
Start runing encode (mbh, subshot_060_1.0, dev11, 2629, 2664) at 05-Aug-2013 17:44:10
Finish runing encode (mbh, subshot_060_1.0, dev11, 1405, 1440) at 05-Aug-2013 17:44:47
Finish runing encode (mbh, subshot_060_1.0, dev11, 1333, 1368) at 05-Aug-2013 17:44:50
Start runing encode (mbh, subshot_060_1.0, dev11, 2665, 2700) at 05-Aug-2013 17:44:56
Start runing encode (mbh, subshot_060_1.0, dev11, 2701, 2736) at 05-Aug-2013 17:44:56
Finish runing encode (mbh, subshot_060_1.0, dev11, 1441, 1476) at 05-Aug-2013 17:45:25
Start runing encode (mbh, subshot_060_1.0, dev11, 2737, 2772) at 05-Aug-2013 17:45:40
Finish runing encode (mbh, subshot_060_1.0, dev11, 1549, 1584) at 05-Aug-2013 17:46:19
Start runing encode (mbh, subshot_060_1.0, dev11, 2773, 2808) at 05-Aug-2013 17:46:26
Finish runing encode (mbh, subshot_060_1.0, dev11, 1513, 1548) at 05-Aug-2013 17:46:27
Finish runing encode (mbh, subshot_060_1.0, dev11, 1585, 1620) at 05-Aug-2013 17:46:40
Start runing encode (mbh, subshot_060_1.0, dev11, 2809, 2844) at 05-Aug-2013 17:46:41
Start runing encode (mbh, subshot_060_1.0, dev11, 2845, 2880) at 05-Aug-2013 17:46:56
Finish runing encode (mbh, subshot_060_1.0, dev11, 1621, 1656) at 05-Aug-2013 17:47:01
Finish runing encode (mbh, subshot_060_1.0, dev11, 1369, 1404) at 05-Aug-2013 17:47:04
Finish runing encode (mbh, subshot_060_1.0, dev11, 1693, 1728) at 05-Aug-2013 17:47:06
Finish runing encode (mbh, subshot_060_1.0, dev11, 1657, 1692) at 05-Aug-2013 17:47:06
Start runing encode (mbh, subshot_060_1.0, dev11, 2917, 2952) at 05-Aug-2013 17:47:11
Start runing encode (mbh, subshot_060_1.0, dev11, 2881, 2916) at 05-Aug-2013 17:47:11
Finish runing encode (mbh, subshot_060_1.0, dev11, 1729, 1764) at 05-Aug-2013 17:47:24
Start runing encode (mbh, subshot_060_1.0, dev11, 2953, 2988) at 05-Aug-2013 17:47:26
Finish runing encode (mbh, subshot_060_1.0, dev11, 1765, 1800) at 05-Aug-2013 17:47:53
Finish runing encode (mbh, subshot_060_1.0, dev11, 1801, 1836) at 05-Aug-2013 17:48:03
Finish runing encode (mbh, subshot_060_1.0, dev11, 1837, 1872) at 05-Aug-2013 17:48:06
Start runing encode (mbh, subshot_060_1.0, dev11, 3025, 3060) at 05-Aug-2013 17:48:10
Start runing encode (mbh, subshot_060_1.0, dev11, 2989, 3024) at 05-Aug-2013 17:48:10
Start runing encode (mbh, subshot_060_1.0, dev11, 3061, 3096) at 05-Aug-2013 17:48:11
Finish runing encode (mbh, subshot_060_1.0, dev11, 2197, 2232) at 05-Aug-2013 17:48:16
Start runing encode (mbh, subshot_060_1.0, dev11, 3097, 3132) at 05-Aug-2013 17:48:25
Start runing encode (mbh, subshot_060_1.0, dev11, 3133, 3168) at 05-Aug-2013 17:48:55
Finish runing encode (mbh, subshot_060_1.0, dev11, 2233, 2268) at 05-Aug-2013 17:49:05
Start runing encode (mbh, subshot_060_1.0, dev11, 3169, 3204) at 05-Aug-2013 17:49:11
Start runing encode (mbh, subshot_060_1.0, dev11, 3205, 3240) at 05-Aug-2013 17:49:11
Finish runing encode (mbh, subshot_060_1.0, dev11, 1981, 2016) at 05-Aug-2013 17:49:28
Finish runing encode (mbh, subshot_060_1.0, dev11, 2053, 2088) at 05-Aug-2013 17:49:31
Finish runing encode (mbh, subshot_060_1.0, dev11, 2305, 2340) at 05-Aug-2013 17:49:47
Finish runing encode (mbh, subshot_060_1.0, dev11, 2017, 2052) at 05-Aug-2013 17:49:48
Finish runing encode (mbh, subshot_060_1.0, dev11, 2413, 2448) at 05-Aug-2013 17:49:54
Start runing encode (mbh, subshot_060_1.0, dev11, 3241, 3276) at 05-Aug-2013 17:49:56
Finish runing encode (mbh, subshot_060_1.0, dev11, 1873, 1908) at 05-Aug-2013 17:49:57
Finish runing encode (mbh, subshot_060_1.0, dev11, 1909, 1944) at 05-Aug-2013 17:50:01
Finish runing encode (mbh, subshot_060_1.0, dev11, 1945, 1980) at 05-Aug-2013 17:50:04
Start runing encode (mbh, subshot_060_1.0, dev11, 3277, 3312) at 05-Aug-2013 17:50:10
Start runing encode (mbh, subshot_060_1.0, dev11, 3313, 3348) at 05-Aug-2013 17:50:40
Finish runing encode (mbh, subshot_060_1.0, dev11, 2269, 2304) at 05-Aug-2013 17:50:42
Start runing encode (mbh, subshot_060_1.0, dev11, 3349, 3384) at 05-Aug-2013 17:50:55
Finish runing encode (mbh, subshot_060_1.0, dev11, 2485, 2520) at 05-Aug-2013 17:51:08
Finish runing encode (mbh, subshot_060_1.0, dev11, 2089, 2124) at 05-Aug-2013 17:51:10
Start runing encode (mbh, subshot_060_1.0, dev11, 3421, 3456) at 05-Aug-2013 17:51:10
Start runing encode (mbh, subshot_060_1.0, dev11, 3385, 3420) at 05-Aug-2013 17:51:11
Start runing encode (mbh, subshot_060_1.0, dev11, 3457, 3492) at 05-Aug-2013 17:51:11
Finish runing encode (mbh, subshot_060_1.0, dev11, 2341, 2376) at 05-Aug-2013 17:51:17
Finish runing encode (mbh, subshot_060_1.0, dev11, 2161, 2196) at 05-Aug-2013 17:51:23
Finish runing encode (mbh, subshot_060_1.0, dev11, 2521, 2556) at 05-Aug-2013 17:51:29
Start runing encode (mbh, subshot_060_1.0, dev11, 3493, 3528) at 05-Aug-2013 17:51:40
Finish runing encode (mbh, subshot_060_1.0, dev11, 2377, 2412) at 05-Aug-2013 17:51:45
Start runing encode (mbh, subshot_060_1.0, dev11, 3529, 3564) at 05-Aug-2013 17:51:55
Start runing encode (mbh, subshot_060_1.0, dev11, 3565, 3600) at 05-Aug-2013 17:52:10
Start runing encode (mbh, subshot_060_1.0, dev11, 3637, 3672) at 05-Aug-2013 17:52:26
Start runing encode (mbh, subshot_060_1.0, dev11, 3601, 3636) at 05-Aug-2013 17:52:26
Finish runing encode (mbh, subshot_060_1.0, dev11, 2449, 2484) at 05-Aug-2013 17:52:26
Start runing encode (mbh, subshot_060_1.0, dev11, 3673, 3708) at 05-Aug-2013 17:52:40
Start runing encode (mbh, subshot_060_1.0, dev11, 3709, 3744) at 05-Aug-2013 17:53:12
Finish runing encode (mbh, subshot_060_1.0, dev11, 2125, 2160) at 05-Aug-2013 17:53:15
Start runing encode (mbh, subshot_060_1.0, dev11, 3745, 3780) at 05-Aug-2013 17:53:25
Start runing encode (mbh, subshot_060_1.0, dev11, 3781, 3816) at 05-Aug-2013 17:53:56
Start runing encode (mbh, subshot_060_1.0, dev11, 3817, 3852) at 05-Aug-2013 17:53:57
Finish runing encode (mbh, subshot_060_1.0, dev11, 2557, 2592) at 05-Aug-2013 17:54:14
Start runing encode (mbh, subshot_060_1.0, dev11, 3853, 3888) at 05-Aug-2013 17:54:56
Finish runing encode (mbh, subshot_060_1.0, dev11, 2629, 2664) at 05-Aug-2013 17:56:55
Start runing encode (mbh, subshot_060_1.0, dev11, 3889, 3924) at 05-Aug-2013 17:57:10
Finish runing encode (mbh, subshot_060_1.0, dev11, 2665, 2700) at 05-Aug-2013 17:57:40
Start runing encode (mbh, subshot_060_1.0, dev11, 3925, 3960) at 05-Aug-2013 17:57:56
Finish runing encode (mbh, subshot_060_1.0, dev11, 2701, 2736) at 05-Aug-2013 17:58:22
Start runing encode (mbh, subshot_060_1.0, dev11, 3961, 3996) at 05-Aug-2013 17:58:26
Finish runing encode (mbh, subshot_060_1.0, dev11, 2737, 2772) at 05-Aug-2013 17:58:30
Start runing encode (mbh, subshot_060_1.0, dev11, 3997, 4032) at 05-Aug-2013 17:58:41
Finish runing encode (mbh, subshot_060_1.0, dev11, 2593, 2628) at 05-Aug-2013 17:58:45
Start runing encode (mbh, subshot_060_1.0, dev11, 4033, 4068) at 05-Aug-2013 17:58:57
Finish runing encode (mbh, subshot_060_1.0, dev11, 2773, 2808) at 05-Aug-2013 17:59:41
Start runing encode (mbh, subshot_060_1.0, dev11, 4069, 4104) at 05-Aug-2013 17:59:56
Finish runing encode (mbh, subshot_060_1.0, dev11, 2953, 2988) at 05-Aug-2013 18:01:12
Finish runing encode (mbh, subshot_060_1.0, dev11, 3205, 3240) at 05-Aug-2013 18:01:17
Start runing encode (mbh, subshot_060_1.0, dev11, 4141, 4176) at 05-Aug-2013 18:01:29
Start runing encode (mbh, subshot_060_1.0, dev11, 4105, 4140) at 05-Aug-2013 18:01:29
Finish runing encode (mbh, subshot_060_1.0, dev11, 2917, 2952) at 05-Aug-2013 18:01:31
Finish runing encode (mbh, subshot_060_1.0, dev11, 2989, 3024) at 05-Aug-2013 18:01:34
Finish runing encode (mbh, subshot_060_1.0, dev11, 3169, 3204) at 05-Aug-2013 18:01:34
Start runing encode (mbh, subshot_060_1.0, dev11, 4249, 4284) at 05-Aug-2013 18:01:47
Start runing encode (mbh, subshot_060_1.0, dev11, 4177, 4212) at 05-Aug-2013 18:01:47
Start runing encode (mbh, subshot_060_1.0, dev11, 4213, 4248) at 05-Aug-2013 18:01:47
Finish runing encode (mbh, subshot_060_1.0, dev11, 2809, 2844) at 05-Aug-2013 18:01:49
Finish runing encode (mbh, subshot_060_1.0, dev11, 3313, 3348) at 05-Aug-2013 18:01:50
Finish runing encode (mbh, subshot_060_1.0, dev11, 2881, 2916) at 05-Aug-2013 18:01:58
Start runing encode (mbh, subshot_060_1.0, dev11, 4321, 4356) at 05-Aug-2013 18:02:02
Start runing encode (mbh, subshot_060_1.0, dev11, 4285, 4320) at 05-Aug-2013 18:02:02
Start runing encode (mbh, subshot_060_1.0, dev11, 4357, 4392) at 05-Aug-2013 18:02:15
Finish runing encode (mbh, subshot_060_1.0, dev11, 3025, 3060) at 05-Aug-2013 18:02:30
Finish runing encode (mbh, subshot_060_1.0, dev11, 2845, 2880) at 05-Aug-2013 18:02:38
Start runing encode (mbh, subshot_060_1.0, dev11, 4393, 4428) at 05-Aug-2013 18:03:01
Finish runing encode (mbh, subshot_060_1.0, dev11, 3097, 3132) at 05-Aug-2013 18:03:04
Start runing encode (mbh, subshot_060_1.0, dev11, 4429, 4464) at 05-Aug-2013 18:03:30
Finish runing encode (mbh, subshot_060_1.0, dev11, 3061, 3096) at 05-Aug-2013 18:03:35
Start runing encode (mbh, subshot_060_1.0, dev11, 4501, 4536) at 05-Aug-2013 18:03:45
Start runing encode (mbh, subshot_060_1.0, dev11, 4465, 4500) at 05-Aug-2013 18:03:46
Finish runing encode (mbh, subshot_060_1.0, dev11, 3277, 3312) at 05-Aug-2013 18:04:24
Finish runing encode (mbh, subshot_060_1.0, dev11, 3241, 3276) at 05-Aug-2013 18:04:30
Finish runing encode (mbh, subshot_060_1.0, dev11, 3637, 3672) at 05-Aug-2013 18:04:41
Start runing encode (mbh, subshot_060_1.0, dev11, 4537, 4572) at 05-Aug-2013 18:04:49
Finish runing encode (mbh, subshot_060_1.0, dev11, 3349, 3384) at 05-Aug-2013 18:04:50
Start runing encode (mbh, subshot_060_1.0, dev11, 4573, 4608) at 05-Aug-2013 18:04:58
Start runing encode (mbh, subshot_060_1.0, dev11, 4609, 4644) at 05-Aug-2013 18:04:58
Finish runing encode (mbh, subshot_060_1.0, dev11, 3493, 3528) at 05-Aug-2013 18:05:05
Finish runing encode (mbh, subshot_060_1.0, dev11, 3421, 3456) at 05-Aug-2013 18:05:09
Finish runing encode (mbh, subshot_060_1.0, dev11, 3133, 3168) at 05-Aug-2013 18:05:10
Finish runing encode (mbh, subshot_060_1.0, dev11, 3709, 3744) at 05-Aug-2013 18:05:23
Finish runing encode (mbh, subshot_060_1.0, dev11, 3673, 3708) at 05-Aug-2013 18:05:27
Finish runing encode (mbh, subshot_060_1.0, dev11, 3601, 3636) at 05-Aug-2013 18:05:36
Start runing encode (mbh, subshot_060_1.0, dev11, 4717, 4752) at 05-Aug-2013 18:05:42
Start runing encode (mbh, subshot_060_1.0, dev11, 4645, 4680) at 05-Aug-2013 18:05:45
Finish runing encode (mbh, subshot_060_1.0, dev11, 3385, 3420) at 05-Aug-2013 18:05:56
Finish runing encode (mbh, subshot_060_1.0, dev11, 3745, 3780) at 05-Aug-2013 18:05:58
Finish runing encode (mbh, subshot_060_1.0, dev11, 3529, 3564) at 05-Aug-2013 18:06:04
Finish runing encode (mbh, subshot_060_1.0, dev11, 3565, 3600) at 05-Aug-2013 18:06:06
Finish runing encode (mbh, subshot_060_1.0, dev11, 3457, 3492) at 05-Aug-2013 18:06:11
Start runing encode (mbh, subshot_060_1.0, dev11, 4753, 4788) at 05-Aug-2013 18:06:13
Finish runing encode (mbh, subshot_060_1.0, dev11, 3781, 3816) at 05-Aug-2013 18:06:13
Finish runing encode (mbh, subshot_060_1.0, dev11, 3853, 3888) at 05-Aug-2013 18:06:19
Start runing encode (mbh, subshot_060_1.0, dev11, 4825, 4860) at 05-Aug-2013 18:06:27
Start runing encode (mbh, subshot_060_1.0, dev11, 4789, 4824) at 05-Aug-2013 18:06:27
Start runing encode (mbh, subshot_060_1.0, dev11, 4861, 4896) at 05-Aug-2013 18:06:40
Start runing encode (mbh, subshot_060_1.0, dev11, 4897, 4932) at 05-Aug-2013 18:06:55
Start runing encode (mbh, subshot_060_1.0, dev11, 4933, 4968) at 05-Aug-2013 18:06:55
Start runing encode (mbh, subshot_060_1.0, dev11, 4969, 5004) at 05-Aug-2013 18:07:11
Start runing encode (mbh, subshot_060_1.0, dev11, 5005, 5040) at 05-Aug-2013 18:07:25
Start runing encode (mbh, subshot_060_1.0, dev11, 5041, 5076) at 05-Aug-2013 18:07:26
Start runing encode (mbh, subshot_060_1.0, dev11, 5077, 5112) at 05-Aug-2013 18:07:41
Start runing encode (mbh, subshot_060_1.0, dev11, 5113, 5148) at 05-Aug-2013 18:08:11
Finish runing encode (mbh, subshot_060_1.0, dev11, 3817, 3852) at 05-Aug-2013 18:09:57
Start runing encode (mbh, subshot_060_1.0, dev11, 5149, 5184) at 05-Aug-2013 18:10:10
Finish runing encode (mbh, subshot_060_1.0, dev11, 3889, 3924) at 05-Aug-2013 18:10:21
Finish runing encode (mbh, subshot_060_1.0, dev11, 3961, 3996) at 05-Aug-2013 18:10:22
Start runing encode (mbh, subshot_060_1.0, dev11, 5185, 5220) at 05-Aug-2013 18:10:25
Start runing encode (mbh, subshot_060_1.0, dev11, 5221, 5256) at 05-Aug-2013 18:10:41
Finish runing encode (mbh, subshot_060_1.0, dev11, 3925, 3960) at 05-Aug-2013 18:10:46
Start runing encode (mbh, subshot_060_1.0, dev11, 5257, 5292) at 05-Aug-2013 18:10:56
Finish runing encode (mbh, subshot_060_1.0, dev11, 4069, 4104) at 05-Aug-2013 18:11:06
Start runing encode (mbh, subshot_060_1.0, dev11, 5293, 5328) at 05-Aug-2013 18:11:11
Finish runing encode (mbh, subshot_060_1.0, dev11, 4141, 4176) at 05-Aug-2013 18:12:27
Start runing encode (mbh, subshot_060_1.0, dev11, 5329, 5364) at 05-Aug-2013 18:12:42
Finish runing encode (mbh, subshot_060_1.0, dev11, 3997, 4032) at 05-Aug-2013 18:12:58
Finish runing encode (mbh, subshot_060_1.0, dev11, 4033, 4068) at 05-Aug-2013 18:13:08
Start runing encode (mbh, subshot_060_1.0, dev11, 5365, 5400) at 05-Aug-2013 18:13:10
Start runing encode (mbh, subshot_060_1.0, dev11, 5401, 5436) at 05-Aug-2013 18:13:25
Finish runing encode (mbh, subshot_060_1.0, dev11, 4393, 4428) at 05-Aug-2013 18:13:47
Start runing encode (mbh, subshot_060_1.0, dev11, 5437, 5472) at 05-Aug-2013 18:13:56
Finish runing encode (mbh, subshot_060_1.0, dev11, 4249, 4284) at 05-Aug-2013 18:14:13
Finish runing encode (mbh, subshot_060_1.0, dev11, 4429, 4464) at 05-Aug-2013 18:14:22
Start runing encode (mbh, subshot_060_1.0, dev11, 5509, 5544) at 05-Aug-2013 18:14:26
Start runing encode (mbh, subshot_060_1.0, dev11, 5473, 5508) at 05-Aug-2013 18:14:26
Finish runing encode (mbh, subshot_060_1.0, dev11, 4501, 4536) at 05-Aug-2013 18:14:42
Finish runing encode (mbh, subshot_060_1.0, dev11, 4177, 4212) at 05-Aug-2013 18:14:50
Start runing encode (mbh, subshot_060_1.0, dev11, 5545, 5580) at 05-Aug-2013 18:14:55
Start runing encode (mbh, subshot_060_1.0, dev11, 5581, 5616) at 05-Aug-2013 18:14:56
Finish runing encode (mbh, subshot_060_1.0, dev11, 4717, 4752) at 05-Aug-2013 18:15:11
Start runing encode (mbh, subshot_060_1.0, dev11, 5617, 5652) at 05-Aug-2013 18:15:26
Finish runing encode (mbh, subshot_060_1.0, dev11, 4213, 4248) at 05-Aug-2013 18:15:44
Finish runing encode (mbh, subshot_060_1.0, dev11, 4681, 4716) at 05-Aug-2013 18:15:51
Start runing encode (mbh, subshot_060_1.0, dev11, 5689, 5724) at 05-Aug-2013 18:15:55
Start runing encode (mbh, subshot_060_1.0, dev11, 5653, 5688) at 05-Aug-2013 18:15:56
Finish runing encode (mbh, subshot_060_1.0, dev11, 4465, 4500) at 05-Aug-2013 18:15:58
Finish runing encode (mbh, subshot_060_1.0, dev11, 4573, 4608) at 05-Aug-2013 18:16:04
Start runing encode (mbh, subshot_060_1.0, dev11, 5725, 5760) at 05-Aug-2013 18:16:10
Finish runing encode (mbh, subshot_060_1.0, dev11, 4105, 4140) at 05-Aug-2013 18:16:17
Finish runing encode (mbh, subshot_060_1.0, dev11, 4357, 4392) at 05-Aug-2013 18:16:20
Finish runing encode (mbh, subshot_060_1.0, dev11, 4753, 4788) at 05-Aug-2013 18:16:21
Start runing encode (mbh, subshot_060_1.0, dev11, 5797, 5832) at 05-Aug-2013 18:16:25
Start runing encode (mbh, subshot_060_1.0, dev11, 5761, 5796) at 05-Aug-2013 18:16:26
Finish runing encode (mbh, subshot_060_1.0, dev11, 4609, 4644) at 05-Aug-2013 18:16:28
Finish runing encode (mbh, subshot_060_1.0, dev11, 4285, 4320) at 05-Aug-2013 18:16:35
Start runing encode (mbh, subshot_060_1.0, dev11, 5833, 5868) at 05-Aug-2013 18:16:41
Start runing encode (mbh, subshot_060_1.0, dev11, 5869, 5904) at 05-Aug-2013 18:16:55
Start runing encode (mbh, subshot_060_1.0, dev11, 5905, 5940) at 05-Aug-2013 18:17:11
Finish runing encode (mbh, subshot_060_1.0, dev11, 4321, 4356) at 05-Aug-2013 18:17:16
Finish runing encode (mbh, subshot_060_1.0, dev11, 4645, 4680) at 05-Aug-2013 18:17:21
Finish runing encode (mbh, subshot_060_1.0, dev11, 4825, 4860) at 05-Aug-2013 18:17:30
Finish runing encode (mbh, subshot_060_1.0, dev11, 4897, 4932) at 05-Aug-2013 18:17:37
Start runing encode (mbh, subshot_060_1.0, dev11, 5977, 6012) at 05-Aug-2013 18:17:41
Finish runing encode (mbh, subshot_060_1.0, dev11, 4861, 4896) at 05-Aug-2013 18:17:45
Start runing encode (mbh, subshot_060_1.0, dev11, 6013, 6048) at 05-Aug-2013 18:17:55
Finish runing encode (mbh, subshot_060_1.0, dev11, 4789, 4824) at 05-Aug-2013 18:18:00
Finish runing encode (mbh, subshot_060_1.0, dev11, 4537, 4572) at 05-Aug-2013 18:18:02
